CUSTOMER;AGE;GENDER;OCCUPATION;TOTAL_INCOME;AREA;OBJECT_VER_NEW
1210;28;L;PEG.SWASTA FORMAL;5000000;05. KALIMANTAN;MOTOR BEKAS
1211;47;L;WIRASWASTA NON FORMAL;4000000;05. KALIMANTAN;2W_MPL
1212;36;L;WIRASWASTA NON FORMAL;5762000;05. KALIMANTAN;MOTOR BARU
1213;44;L;WIRASWASTA NON FORMAL;4792000;05. KALIMANTAN;MOTOR BARU
1214;55;L;WIRASWASTA NON FORMAL;5850000;05. KALIMANTAN;MOTOR BEKAS
1215;39;L;WIRASWASTA NON FORMAL;4000000;05. KALIMANTAN;MOTOR BARU
1216;45;L;WIRASWASTA NON FORMAL;5000000;05. KALIMANTAN;MOTOR BARU
1217;48;L;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BARU
1218;37;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1219;33;L;WIRASWASTA NON FORMAL;8000000;01. JABOTABEK;MOTOR BARU
1220;41;L;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BARU
1221;39;L;PEG.SWASTA FORMAL;8695000;08. SUMATERA UTARA;MOTOR BARU
1222;38;P;WIRASWASTA NON FORMAL;6200000;08. SUMATERA UTARA;MOTOR BARU
1223;22;P;PEG.SWASTA FORMAL;8550000;08. SUMATERA UTARA;MOTOR BARU
1224;37;L;PEG.SWASTA FORMAL;14650000;07. BALI & NTT/B;MOBIL BEKAS
1225;44;L;TNI / POLISI;5000000;08. SUMATERA UTARA;MOTOR BARU
1226;24;L;PEG.SWASTA FORMAL;13948000;07. BALI & NTT/B;MOBIL BEKAS
1227;41;P;WIRASWASTA NON FORMAL;2500000;03. JATIM;MOTOR BARU
1228;44;L;PEG.SWASTA NON FORMAL;4000000;02. JABAR;MOTOR BARU
1229;32;L;WIRASWASTA NON FORMAL;3131200;02. JABAR;2W_MPL
1230;48;L;PEG.SWASTA FORMAL;4500000;03. JATIM;2W_MPL
1231;45;L;WIRASWASTA NON FORMAL;2800000;03. JATIM;MOTOR BARU
1232;47;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1233;31;L;WIRASWASTA NON FORMAL;4500000;03. JATIM;2W_MPL
1234;24;L;PEG.SWASTA FORMAL;4700000;03. JATIM;MOTOR BARU
1235;34;L;PEG.SWASTA FORMAL;4758000;03. JATIM;MOTOR BEKAS
1236;48;L;WIRASWASTA FORMAL;5000000;07. BALI & NTT/B;MOTOR BEKAS
1237;25;P;PEG.SWASTA FORMAL;3775000;07. BALI & NTT/B;MOTOR BARU
1238;21;L;PEG.SWASTA FORMAL;7364898;03. JATIM;MOTOR BARU
1239;33;L;PEG.SWASTA NON FORMAL;2400000;03. JATIM;2W_MPL
1240;28;L;PEG.SWASTA NON FORMAL;3000000;03. JATIM;MOTOR BEKAS
1241;26;L;PEG.SWASTA FORMAL;13313084;03. JATIM;MOBIL BEKAS
1242;39;L;WIRASWASTA NON FORMAL;2700000;01. JABOTABEK;MOTOR BARU
1243;47;L;PEG.NEGERI;9000000;03. JATIM;MOTOR BARU
1244;56;P;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1245;47;L;WIRASWASTA NON FORMAL;6000000;03. JATIM;MOTOR BARU
1246;24;L;PEG.SWASTA FORMAL;6450000;03. JATIM;MOTOR BARU
1247;42;L;PEG.SWASTA NON FORMAL;3500000;03. JATIM;MOTOR BARU
1248;22;L;PEG.SWASTA NON FORMAL;6000000;04. JATENG;MOTOR BARU
1249;34;L;WIRASWASTA NON FORMAL;4000000;04. JATENG;2W_MPL
1250;31;L;PEG.SWASTA FORMAL;3500000;04. JATENG;MOTOR BARU
1251;37;P;WIRASWASTA NON FORMAL;37500000;04. JATENG;MOBIL BARU
1252;20;P;PEG.SWASTA NON FORMAL;4500000;03. JATIM;MOTOR BARU
1253;37;L;WIRASWASTA NON FORMAL;4300000;03. JATIM;MOTOR BARU
1254;44;L;WIRASWASTA NON FORMAL;5500000;03. JATIM;2W_MPL
1255;54;L;WIRASWASTA FORMAL;40000000;04. JATENG;MOBIL BARU
1256;30;P;PEG.SWASTA FORMAL;6500000;04. JATENG;MOTOR BARU
1257;20;L;PEG.SWASTA FORMAL;4000000;04. JATENG;MOTOR BARU
1258;46;L;PEG.SWASTA NON FORMAL;3000000;04. JATENG;MOTOR BARU
1259;42;P;WIRASWASTA NON FORMAL;5000000;04. JATENG;MOTOR BARU
1260;46;L;WIRASWASTA NON FORMAL;3000000;04. JATENG;MOTOR BARU
1261;46;L;WIRASWASTA FORMAL;4300000;02. JABAR;MOTOR BARU
1262;25;P;PEG.SWASTA NON FORMAL;3200000;01. JABOTABEK;2W_MPL
1263;36;P;PEG.SWASTA FORMAL;7000000;06. SULAWESI;MOTOR BEKAS
1264;41;L;PEG.SWASTA NON FORMAL;5000000;06. SULAWESI;MOTOR BARU
1265;58;L;PEG.SWASTA FORMAL;7840000;06. SULAWESI;MOTOR BARU
1266;49;L;TNI / POLISI;6500000;06. SULAWESI;MOTOR BARU
1267;34;L;PEG.SWASTA FORMAL;5500000;06. SULAWESI;MOTOR BARU
1268;38;L;PEG.SWASTA FORMAL;6000000;06. SULAWESI;MOTOR BARU
1269;35;P;PEG.SWASTA FORMAL;5000000;02. JABAR;MOTOR BEKAS
1270;22;L;PEG.SWASTA FORMAL;5800000;02. JABAR;2W_MPL
1271;35;P;WIRASWASTA NON FORMAL;6000000;02. JABAR;2W_MPL
1272;22;L;PEG.SWASTA FORMAL;7800000;02. JABAR;2W_MPL
1273;37;L;WIRASWASTA NON FORMAL;6000000;02. JABAR;MOTOR BARU
1274;55;L;WIRASWASTA NON FORMAL;20101000;01. JABOTABEK;MOBIL BEKAS
1275;26;L;WIRASWASTA NON FORMAL;14750000;01. JABOTABEK;MOBIL BEKAS
1276;40;L;PEG.SWASTA FORMAL;8434536;01. JABOTABEK;MOBIL BEKAS
1277;42;L;PEG.SWASTA FORMAL;5500000;01. JABOTABEK;MOTOR BARU
1278;37;L;PEG.SWASTA FORMAL;3500000;01. JABOTABEK;MOTOR BARU
1279;27;L;PEG.SWASTA NON FORMAL;4400000;03. JATIM;MOTOR BARU
1280;25;L;PEG.SWASTA NON FORMAL;3400000;03. JATIM;MOTOR BARU
1281;48;L;WIRASWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
1282;57;P;PEG.NEGERI;16254650;01. JABOTABEK;MOBIL BEKAS
1283;39;L;PEG.SWASTA FORMAL;4000000;07. BALI & NTT/B;MOTOR BARU
1284;36;L;PEG.NEGERI;3500000;07. BALI & NTT/B;MOTOR BARU
1285;35;L;WIRASWASTA NON FORMAL;21000000;07. BALI & NTT/B;4W_MPL
1286;47;P;WIRASWASTA FORMAL;5000000;07. BALI & NTT/B;MOTOR BARU
1287;21;L;PEG.SWASTA FORMAL;3000000;02. JABAR;MOTOR BARU
1288;25;L;WIRASWASTA FORMAL;2000000;02. JABAR;2W_MPL
1289;56;L;WIRASWASTA NON FORMAL;3500000;02. JABAR;MOTOR BEKAS
1290;37;P;WIRASWASTA NON FORMAL;3100000;02. JABAR;MOTOR BARU
1291;24;L;PEG.SWASTA FORMAL;2000000;02. JABAR;MOTOR BEKAS
1292;37;L;WIRASWASTA NON FORMAL;3000000;02. JABAR;MOTOR BEKAS
1293;21;L;PEG.SWASTA FORMAL;4800000;02. JABAR;2W_MPL
1294;46;L;WIRASWASTA NON FORMAL;6000000;03. JATIM;MOTOR BARU
1295;41;P;PEG.SWASTA NON FORMAL;3800000;03. JATIM;MOTOR BARU
1296;19;P;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
1297;33;L;WIRASWASTA NON FORMAL;5000000;01. JABOTABEK;MOTOR BARU
1298;36;L;WIRASWASTA NON FORMAL;3000000;01. JABOTABEK;MOTOR BEKAS
1299;27;L;PEG.SWASTA NON FORMAL;3150000;01. JABOTABEK;MOTOR BEKAS
1300;34;L;WIRASWASTA NON FORMAL;2500000;01. JABOTABEK;2W_MPL
1301;49;P;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;2W_MPL
1302;39;L;WIRASWASTA NON FORMAL;3500000;01. JABOTABEK;MOTOR BARU
1303;44;L;WIRASWASTA NON FORMAL;5000000;01. JABOTABEK;MOTOR BARU
1304;36;L;PEG.SWASTA FORMAL;3000000;01. JABOTABEK;MOTOR BARU
1305;39;L;WIRASWASTA NON FORMAL;4400000;01. JABOTABEK;MOTOR BARU
1306;34;P;WIRASWASTA NON FORMAL;3000000;01. JABOTABEK;2W_MPL
1307;28;L;WIRASWASTA NON FORMAL;3000000;01. JABOTABEK;MOTOR BARU
1308;42;P;WIRASWASTA NON FORMAL;3200000;01. JABOTABEK;2W_MPL
1309;25;L;PEG.SWASTA NON FORMAL;3500000;03. JATIM;MOTOR BARU
1310;39;L;PEG.SWASTA NON FORMAL;2400000;03. JATIM;MOTOR BARU
1311;38;P;WIRASWASTA NON FORMAL;3500000;03. JATIM;MOTOR BARU
1312;29;L;PEG.SWASTA FORMAL;3800000;03. JATIM;MOTOR BARU
1313;55;P;WIRASWASTA NON FORMAL;3600000;03. JATIM;MOTOR BARU
1314;39;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1315;57;L;WIRASWASTA NON FORMAL;8700000;09. SUMATERA SELATAN;MOBIL BEKAS
1316;32;P;WIRASWASTA NON FORMAL;4000000;08. SUMATERA UTARA;DURABLE
1317;25;L;WIRASWASTA NON FORMAL;6000000;08. SUMATERA UTARA;DURABLE
1318;48;L;TNI / POLISI;4600000;03. JATIM;MOTOR BARU
1319;40;L;WIRASWASTA NON FORMAL;4100000;03. JATIM;MOTOR BARU
1320;41;P;WIRASWASTA NON FORMAL;4200000;03. JATIM;MOTOR BARU
1321;44;P;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BARU
1322;51;L;PEG.NEGERI;6000000;08. SUMATERA UTARA;DURABLE
1323;35;L;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BARU
1324;26;P;PEG.NEGERI;3400000;03. JATIM;2W_MPL
1325;34;L;WIRASWASTA NON FORMAL;4250000;03. JATIM;MOTOR BARU
1326;25;L;WIRASWASTA NON FORMAL;5000000;02. JABAR;2W_MPL
1327;40;P;PEG.NEGERI;10662700;06. SULAWESI;MOBIL BARU
1328;40;L;WIRASWASTA NON FORMAL;2500000;06. SULAWESI;DURABLE
1329;29;P;WIRASWASTA NON FORMAL;2000000;06. SULAWESI;DURABLE
1330;37;P;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1331;40;P;WIRASWASTA NON FORMAL;5000000;04. JATENG;MOTOR BARU
1332;48;L;WIRASWASTA NON FORMAL;4500000;04. JATENG;MOTOR BARU
1333;49;L;PEG.SWASTA NON FORMAL;2000000;04. JATENG;MOTOR BARU
1334;45;L;WIRASWASTA NON FORMAL;3000000;04. JATENG;MOTOR BEKAS
1335;51;P;WIRASWASTA NON FORMAL;3000000;04. JATENG;MOTOR BEKAS
1336;35;P;WIRASWASTA FORMAL;4000000;04. JATENG;MOTOR BARU
1337;35;P;WIRASWASTA NON FORMAL;3000000;04. JATENG;MOTOR BARU
1338;51;L;WIRASWASTA FORMAL;3500000;04. JATENG;MOTOR BEKAS
1339;24;P;PEG.SWASTA FORMAL;2500000;04. JATENG;MOTOR BARU
1340;53;P;WIRASWASTA NON FORMAL;4000000;06. SULAWESI;MOTOR BARU
1341;26;L;PEG.SWASTA NON FORMAL;2800000;04. JATENG;MOTOR BARU
1342;22;P;PEG.SWASTA FORMAL;2700000;04. JATENG;MOTOR BARU
1343;57;L;WIRASWASTA NON FORMAL;6000000;04. JATENG;MOTOR BARU
1344;32;L;PEG.SWASTA NON FORMAL;2000000;04. JATENG;MOTOR BEKAS
1345;42;L;PEG.SWASTA FORMAL;3000000;04. JATENG;2W_MPL
1346;43;L;WIRASWASTA NON FORMAL;3000000;04. JATENG;2W_MPL
1347;39;P;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
1348;20;L;PEG.SWASTA FORMAL;4500000;01. JABOTABEK;MOTOR BARU
1349;38;L;WIRASWASTA NON FORMAL;3000000;01. JABOTABEK;2W_MPL
1350;26;P;PEG.SWASTA FORMAL;8500000;01. JABOTABEK;MOTOR BARU
1351;26;L;PEG.SWASTA FORMAL;3500000;01. JABOTABEK;MOTOR BARU
1352;39;L;PEG.SWASTA FORMAL;4700000;01. JABOTABEK;2W_MPL
1353;32;L;WIRASWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
1354;36;L;WIRASWASTA NON FORMAL;3500000;01. JABOTABEK;MOTOR BARU
1355;22;L;WIRASWASTA NON FORMAL;7000000;01. JABOTABEK;MOTOR BEKAS
1356;24;L;WIRASWASTA NON FORMAL;9000000;01. JABOTABEK;MOTOR BEKAS
1357;40;L;WIRASWASTA NON FORMAL;2550000;06. SULAWESI;MOTOR BEKAS
1358;52;L;WIRASWASTA NON FORMAL;6000000;02. JABAR;MOTOR BARU
1359;44;P;PEG.SWASTA FORMAL;4300000;01. JABOTABEK;MOTOR BARU
1360;27;L;PEG.SWASTA NON FORMAL;6000000;01. JABOTABEK;MOTOR BARU
1361;33;L;WIRASWASTA FORMAL;4500000;01. JABOTABEK;MOTOR BARU
1362;42;L;PEG.SWASTA FORMAL;7000000;01. JABOTABEK;MOTOR BARU
1363;46;L;WIRASWASTA FORMAL;4200000;01. JABOTABEK;MOTOR BARU
1364;36;P;WIRASWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
1365;40;P;WIRASWASTA FORMAL;4000000;01. JABOTABEK;2W_MPL
1366;35;P;PEG.SWASTA FORMAL;10000000;01. JABOTABEK;MOTOR BARU
1367;27;L;PEG.SWASTA NON FORMAL;4420000;02. JABAR;MOTOR BEKAS
1368;40;L;PEG.SWASTA FORMAL;5000000;02. JABAR;2W_MPL
1369;41;L;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BARU
1370;32;L;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BEKAS
1371;20;L;PEG.SWASTA FORMAL;3600000;01. JABOTABEK;MOTOR BEKAS
1372;50;L;WIRASWASTA NON FORMAL;4230000;02. JABAR;2W_MPL
1373;48;L;WIRASWASTA NON FORMAL;3120000;02. JABAR;DURABLE
1374;24;P;PEG.SWASTA NON FORMAL;3600000;05. KALIMANTAN;MOTOR BARU
1375;36;L;WIRASWASTA NON FORMAL;5695307;05. KALIMANTAN;MOTOR BARU
1376;20;L;PEG.SWASTA FORMAL;4000000;05. KALIMANTAN;MOTOR BEKAS
1377;47;P;PEG.NEGERI;5000000;05. KALIMANTAN;MOTOR BARU
1378;30;L;WIRASWASTA NON FORMAL;4500000;05. KALIMANTAN;MOTOR BEKAS
1379;43;L;WIRASWASTA NON FORMAL;4300000;05. KALIMANTAN;MOTOR BARU
1380;41;L;WIRASWASTA NON FORMAL;3000000;03. JATIM;MOTOR BARU
1381;25;L;WIRASWASTA NON FORMAL;2300000;03. JATIM;MOTOR BARU
1382;25;L;WIRASWASTA NON FORMAL;15000000;03. JATIM;MOTOR BARU
1383;46;L;WIRASWASTA NON FORMAL;4500000;03. JATIM;MOTOR BARU
1384;22;L;PEG.SWASTA FORMAL;6000000;03. JATIM;MOTOR BARU
1385;32;L;WIRASWASTA NON FORMAL;26000000;03. JATIM;MOBIL BARU
1386;44;L;WIRASWASTA NON FORMAL;4750000;01. JABOTABEK;MOTOR BARU
1387;46;L;WIRASWASTA NON FORMAL;4500000;01. JABOTABEK;MOTOR BARU
1388;40;L;WIRASWASTA FORMAL;109000000;01. JABOTABEK;MOTOR BARU
1389;43;L;WIRASWASTA NON FORMAL;14000000;03. JATIM;MOTOR BARU
1390;38;L;WIRASWASTA NON FORMAL;14000000;03. JATIM;MOTOR BARU
1391;23;L;PEG.SWASTA FORMAL;5350000;03. JATIM;MOTOR BEKAS
1392;52;P;PEG.SWASTA NON FORMAL;4080000;03. JATIM;MOTOR BARU
1393;39;L;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BARU
1394;40;L;WIRASWASTA NON FORMAL;7000000;01. JABOTABEK;2W_MPL
1395;43;L;PEG.SWASTA NON FORMAL;3500000;01. JABOTABEK;MOTOR BARU
1396;38;L;WIRASWASTA NON FORMAL;9000000;01. JABOTABEK;MOTOR BARU
1397;28;L;PEG.SWASTA FORMAL;3500000;01. JABOTABEK;2W_MPL
1398;40;L;PEG.SWASTA NON FORMAL;2500000;01. JABOTABEK;2W_MPL
1399;26;L;PEG.SWASTA NON FORMAL;2500000;03. JATIM;MOTOR BEKAS
1400;40;L;WIRASWASTA NON FORMAL;8000000;03. JATIM;MOTOR BARU
1401;29;L;PEG.SWASTA FORMAL;6520800;03. JATIM;MOTOR BEKAS
1402;23;L;TNI / POLISI;4000000;06. SULAWESI;MOTOR BARU
1403;34;P;WIRASWASTA NON FORMAL;4500000;06. SULAWESI;MOTOR BARU
1404;53;P;WIRASWASTA NON FORMAL;3240000;03. JATIM;MOTOR BARU
1405;26;L;PEG.SWASTA NON FORMAL;2850000;03. JATIM;MOTOR BARU
1406;36;L;WIRASWASTA NON FORMAL;7325000;03. JATIM;4W_MPL
1407;58;P;WIRASWASTA NON FORMAL;3100000;03. JATIM;MOTOR BEKAS
1408;51;L;WIRASWASTA NON FORMAL;3000000;03. JATIM;MOTOR BARU
1409;37;L;WIRASWASTA NON FORMAL;2700000;03. JATIM;2W_MPL
1410;31;L;PEG.SWASTA FORMAL;2500000;09. SUMATERA SELATAN;2W_MPL
1411;20;L;PEG.SWASTA FORMAL;3800000;02. JABAR;2W_MPL
1412;22;P;WIRASWASTA NON FORMAL;3387500;02. JABAR;MOTOR BEKAS
1413;31;L;PEG.SWASTA FORMAL;2134000;02. JABAR;2W_MPL
1414;22;P;PEG.SWASTA NON FORMAL;4000000;09. SUMATERA SELATAN;MOTOR BARU
1415;23;L;PEG.SWASTA NON FORMAL;4200000;02. JABAR;MOTOR BARU
1416;19;L;PEG.SWASTA FORMAL;5500000;02. JABAR;MOTOR BARU
1417;50;L;PEG.NEGERI;4000000;02. JABAR;MOTOR BARU
1418;42;P;WIRASWASTA NON FORMAL;2500000;02. JABAR;MOTOR BARU
1419;59;P;WIRASWASTA NON FORMAL;2500000;02. JABAR;MOTOR BEKAS
1420;42;L;WIRASWASTA NON FORMAL;3000000;02. JABAR;2W_MPL
1421;38;P;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BARU
1422;29;L;WIRASWASTA NON FORMAL;2500000;03. JATIM;MOTOR BARU
1423;41;P;WIRASWASTA NON FORMAL;3500000;02. JABAR;MOTOR BARU
1424;44;L;PEG.SWASTA FORMAL;10000000;03. JATIM;MOTOR BARU
1425;32;L;WIRASWASTA NON FORMAL;6000000;03. JATIM;MOTOR BARU
1426;22;L;PEG.SWASTA FORMAL;4500000;07. BALI & NTT/B;MOTOR BARU
1427;38;L;PEG.NEGERI;6500000;03. JATIM;MOTOR BARU
1428;29;L;PEG.SWASTA FORMAL;6800000;03. JATIM;MOTOR BEKAS
1429;24;L;PEG.SWASTA FORMAL;5200000;02. JABAR;MOTOR BEKAS
1430;51;L;WIRASWASTA NON FORMAL;5040000;03. JATIM;MOTOR BEKAS
1431;59;P;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1432;29;L;WIRASWASTA NON FORMAL;3800000;03. JATIM;MOTOR BARU
1433;38;L;WIRASWASTA NON FORMAL;5800000;03. JATIM;MOTOR BARU
1434;43;L;PEG.SWASTA NON FORMAL;3250000;04. JATENG;MOTOR BARU
1435;35;P;PEG.SWASTA NON FORMAL;3700000;04. JATENG;MOTOR BARU
1436;44;L;PEG.NEGERI;7610000;06. SULAWESI;MOBIL BEKAS
1437;19;P;PEG.SWASTA NON FORMAL;4800000;04. JATENG;MOTOR BARU
1438;22;P;PEG.SWASTA FORMAL;5000000;04. JATENG;MOTOR BARU
1439;31;L;PEG.SWASTA FORMAL;2100000;01. JABOTABEK;MOTOR BEKAS
1440;41;L;PEG.SWASTA FORMAL;6800000;06. SULAWESI;MOTOR BARU
1441;33;L;PEG.SWASTA FORMAL;5500000;06. SULAWESI;MOTOR BARU
1442;34;L;PEG.NEGERI;3175000;06. SULAWESI;MOTOR BARU
1443;48;L;PEG.NEGERI;6500000;06. SULAWESI;MOTOR BARU
1444;29;P;PEG.SWASTA FORMAL;5000000;06. SULAWESI;MOTOR BARU
1445;41;L;WIRASWASTA NON FORMAL;2500000;02. JABAR;2W_MPL
1446;55;L;WIRASWASTA FORMAL;4000000;02. JABAR;2W_MPL
1447;32;L;PEG.SWASTA FORMAL;3300000;02. JABAR;MOTOR BARU
1448;21;L;PEG.SWASTA FORMAL;4700000;01. JABOTABEK;MOTOR BARU
1449;40;L;PEG.NEGERI;14112000;01. JABOTABEK;MOBIL BEKAS
1450;33;P;PEG.SWASTA FORMAL;10403330;01. JABOTABEK;MOBIL BEKAS
1451;24;L;PEG.SWASTA NON FORMAL;3540000;03. JATIM;MOTOR BEKAS
1452;32;L;PEG.SWASTA FORMAL;4800000;01. JABOTABEK;MOTOR BARU
1453;36;L;PEG.SWASTA FORMAL;3500000;07. BALI & NTT/B;MOTOR BARU
1454;46;L;PEG.NEGERI;3500000;02. JABAR;2W_MPL
1455;25;L;PEG.SWASTA FORMAL;3486000;02. JABAR;MOTOR BARU
1456;36;L;PEG.SWASTA FORMAL;5800000;07. BALI & NTT/B;MOTOR BEKAS
1457;21;L;WIRASWASTA FORMAL;6000000;07. BALI & NTT/B;MOTOR BARU
1458;29;P;PEG.NEGERI;3800000;09. SUMATERA SELATAN;MOTOR BARU
1459;31;L;WIRASWASTA NON FORMAL;3600000;09. SUMATERA SELATAN;MOTOR BEKAS
1460;41;L;WIRASWASTA NON FORMAL;4250000;09. SUMATERA SELATAN;MOTOR BEKAS
1461;33;L;PEG.SWASTA FORMAL;4100000;09. SUMATERA SELATAN;MOTOR BARU
1462;57;L;WIRASWASTA NON FORMAL;3900000;09. SUMATERA SELATAN;MOTOR BARU
1463;27;L;PEG.SWASTA FORMAL;5500000;09. SUMATERA SELATAN;MOTOR BARU
1464;51;L;PEG.SWASTA FORMAL;3000000;09. SUMATERA SELATAN;MOTOR BARU
1465;38;L;PEG.SWASTA FORMAL;3500000;09. SUMATERA SELATAN;MOTOR BARU
1466;46;L;PEG.NEGERI;6300000;08. SUMATERA UTARA;MOTOR BEKAS
1467;23;P;WIRASWASTA NON FORMAL;2400000;03. JATIM;MOTOR BEKAS
1468;28;L;WIRASWASTA NON FORMAL;3000000;03. JATIM;MOTOR BARU
1469;33;L;WIRASWASTA NON FORMAL;11000000;03. JATIM;MOBIL BEKAS
1470;22;L;PEG.SWASTA FORMAL;3060000;03. JATIM;MOTOR BARU
1471;22;L;PEG.SWASTA FORMAL;3900000;03. JATIM;MOTOR BARU
1472;40;L;PEG.SWASTA FORMAL;3300000;03. JATIM;MOTOR BARU
1473;43;P;PEG.SWASTA FORMAL;3800000;03. JATIM;2W_MPL
1474;45;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1475;45;P;WIRASWASTA NON FORMAL;3500000;09. SUMATERA SELATAN;MOTOR BARU
1476;41;L;WIRASWASTA NON FORMAL;4000000;09. SUMATERA SELATAN;MOTOR BARU
1477;41;L;PEG.SWASTA NON FORMAL;2600000;09. SUMATERA SELATAN;MOTOR BARU
1478;39;L;PEG.SWASTA NON FORMAL;5050000;02. JABAR;MOTOR BARU
1479;27;L;WIRASWASTA NON FORMAL;2100000;02. JABAR;MOTOR BEKAS
1480;30;L;WIRASWASTA NON FORMAL;2500000;02. JABAR;MOTOR BARU
1481;42;L;WIRASWASTA NON FORMAL;4000000;02. JABAR;MOTOR BEKAS
1482;43;P;WIRASWASTA NON FORMAL;3300000;02. JABAR;MOTOR BEKAS
1483;24;L;WIRASWASTA NON FORMAL;6500000;02. JABAR;2W_MPL
1484;34;L;WIRASWASTA NON FORMAL;2500000;03. JATIM;MOTOR BARU
1485;40;L;PROFESIONAL;2400000;02. JABAR;2W_MPL
1486;26;L;PEG.SWASTA FORMAL;6631000;02. JABAR;MOTOR BARU
1487;54;L;WIRASWASTA NON FORMAL;2400000;02. JABAR;2W_MPL
1488;37;P;WIRASWASTA NON FORMAL;4446000;02. JABAR;MOTOR BARU
1489;50;L;WIRASWASTA NON FORMAL;2400000;02. JABAR;MOTOR BEKAS
1490;45;P;WIRASWASTA NON FORMAL;7800000;02. JABAR;MOTOR BARU
1491;35;L;PEG.SWASTA FORMAL;5000000;02. JABAR;2W_MPL
1492;31;L;WIRASWASTA NON FORMAL;3000000;02. JABAR;MOTOR BARU
1493;46;L;PROFESIONAL;2000000;02. JABAR;MOTOR BEKAS
1494;41;P;WIRASWASTA NON FORMAL;2400000;03. JATIM;2W_MPL
1495;33;L;PEG.SWASTA NON FORMAL;4200000;03. JATIM;MOTOR BEKAS
1496;41;P;PEG.SWASTA FORMAL;2400000;03. JATIM;DURABLE
1497;48;L;PEG.SWASTA FORMAL;6500000;01. JABOTABEK;MOTOR BARU
1498;42;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
1499;28;L;PEG.SWASTA FORMAL;9609000;03. JATIM;MOTOR BARU
1500;43;L;WIRASWASTA NON FORMAL;3000000;03. JATIM;MOTOR BARU
1501;36;P;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1502;28;P;PEG.SWASTA NON FORMAL;4900000;03. JATIM;MOTOR BARU
1503;48;L;WIRASWASTA NON FORMAL;3500000;01. JABOTABEK;MOTOR BARU
1504;67;L;WIRASWASTA NON FORMAL;5000000;03. JATIM;2W_MPL
1505;35;L;PEG.SWASTA FORMAL;5250000;03. JATIM;MOTOR BARU
1506;46;P;WIRASWASTA NON FORMAL;2500000;03. JATIM;MOTOR BARU
1507;42;P;PEG.NEGERI;5200000;03. JATIM;2W_MPL
1508;40;L;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BARU
1509;46;P;WIRASWASTA NON FORMAL;6000000;04. JATENG;MOTOR BARU
1510;36;L;WIRASWASTA NON FORMAL;4000000;04. JATENG;MOTOR BARU
1511;40;L;PEG.SWASTA FORMAL;9500000;03. JATIM;MOTOR BARU
1512;57;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
1513;56;L;WIRASWASTA NON FORMAL;18000000;03. JATIM;MOTOR BARU
1514;60;L;PEG.SWASTA NON FORMAL;6000000;03. JATIM;MOTOR BARU
1515;25;P;PEG.SWASTA FORMAL;4200000;04. JATENG;MOTOR BARU
1516;19;P;PEG.SWASTA FORMAL;3500000;04. JATENG;MOTOR BARU
1517;19;L;PEG.SWASTA FORMAL;9400000;04. JATENG;MOTOR BARU
1518;34;L;PEG.SWASTA FORMAL;5000000;03. JATIM;MOTOR BARU
1519;51;L;WIRASWASTA NON FORMAL;2600000;01. JABOTABEK;MOTOR BEKAS
1520;37;P;PEG.SWASTA FORMAL;6500000;06. SULAWESI;MOTOR BARU
1521;31;L;PEG.SWASTA FORMAL;2324000;06. SULAWESI;2W_MPL
1522;46;P;PEG.SWASTA FORMAL;6000000;06. SULAWESI;MOTOR BARU
1523;24;L;PEG.SWASTA FORMAL;4000000;02. JABAR;MOTOR BARU
1524;37;P;PEG.SWASTA FORMAL;4900000;02. JABAR;2W_MPL
1525;34;L;WIRASWASTA NON FORMAL;3300000;02. JABAR;MOTOR BARU
1526;34;L;WIRASWASTA NON FORMAL;15200000;02. JABAR;MOTOR BARU
1527;26;L;WIRASWASTA NON FORMAL;4000000;02. JABAR;2W_MPL
