CUSTOMER;AGE;GENDER;OCCUPATION;TOTAL_INCOME;AREA;OBJECT_VER_NEW
73;26;L;PEG.SWASTA FORMAL;7000000;02. JABAR;MOTOR BEKAS
74;32;L;WIRASWASTA FORMAL;11600000;02. JABAR;2W_MPL
75;28;P;PEG.SWASTA FORMAL;6558000;02. JABAR;MOTOR BARU
76;25;L;PEG.SWASTA FORMAL;3300000;02. JABAR;MOTOR BARU
77;45;P;WIRASWASTA NON FORMAL;7410000;02. JABAR;MOTOR BARU
78;51;P;WIRASWASTA NON FORMAL;5000000;02. JABAR;MOTOR BARU
79;20;P;PEG.SWASTA NON FORMAL;5500000;02. JABAR;MOTOR BARU
80;33;P;PROFESIONAL;4493000;02. JABAR;MOTOR BARU
81;50;L;PEG.SWASTA FORMAL;4000000;02. JABAR;MOTOR BEKAS
82;35;L;WIRASWASTA NON FORMAL;5000000;02. JABAR;MOTOR BARU
83;47;L;WIRASWASTA NON FORMAL;4750000;02. JABAR;MOTOR BEKAS
84;27;L;PEG.SWASTA NON FORMAL;5500000;01. JABOTABEK;MOTOR BARU
85;39;P;PEG.SWASTA FORMAL;20000000;01. JABOTABEK;MOTOR BARU
86;22;P;PEG.SWASTA FORMAL;6300000;01. JABOTABEK;MOTOR BARU
87;41;L;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BEKAS
88;42;L;PEG.SWASTA FORMAL;6000000;02. JABAR;MOTOR BARU
89;38;L;PEG.SWASTA FORMAL;12500000;01. JABOTABEK;MOTOR BEKAS
90;29;L;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
91;26;L;WIRASWASTA NON FORMAL;6000000;01. JABOTABEK;MOTOR BARU
92;22;L;PEG.SWASTA FORMAL;7600000;01. JABOTABEK;MOTOR BARU
93;53;P;WIRASWASTA NON FORMAL;5000000;02. JABAR;MOTOR BARU
94;23;P;WIRASWASTA NON FORMAL;5000000;02. JABAR;MOTOR BEKAS
95;37;L;PEG.SWASTA FORMAL;6000000;04. JATENG;MOTOR BEKAS
96;34;L;TNI / POLISI;9000000;01. JABOTABEK;MOTOR BARU
97;39;P;WIRASWASTA NON FORMAL;8000000;01. JABOTABEK;MOTOR BARU
98;42;L;PEG.SWASTA FORMAL;6000000;01. JABOTABEK;MOTOR BARU
99;44;L;PEG.SWASTA FORMAL;4300000;01. JABOTABEK;MOTOR BARU
100;51;P;PEG.SWASTA FORMAL;3500000;01. JABOTABEK;MOTOR BARU
101;59;L;PEG.SWASTA FORMAL;4500000;01. JABOTABEK;MOTOR BARU
102;22;L;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;2W_MPL
103;49;P;WIRASWASTA NON FORMAL;10000000;01. JABOTABEK;MOTOR BARU
104;54;L;WIRASWASTA NON FORMAL;4800000;01. JABOTABEK;2W_MPL
105;43;P;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
106;52;L;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BARU
107;53;P;WIRASWASTA NON FORMAL;3500000;03. JATIM;MOTOR BARU
108;62;L;WIRASWASTA NON FORMAL;4800000;03. JATIM;2W_MPL
109;49;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BEKAS
110;45;L;WIRASWASTA NON FORMAL;4800000;03. JATIM;2W_MPL
111;40;L;WIRASWASTA NON FORMAL;10000000;03. JATIM;MOTOR BARU
112;51;L;PEG.SWASTA FORMAL;5000000;03. JATIM;MOTOR BARU
113;49;L;WIRASWASTA NON FORMAL;8700000;02. JABAR;DURABLE
114;51;L;PEG.SWASTA NON FORMAL;2600000;03. JATIM;MOTOR BEKAS
115;34;L;PEG.SWASTA FORMAL;6000000;02. JABAR;MOTOR BEKAS
116;43;P;WIRASWASTA NON FORMAL;2800000;02. JABAR;2W_MPL
117;38;L;PEG.SWASTA FORMAL;7089027;02. JABAR;4W_MPL
118;32;P;PEG.SWASTA FORMAL;2900000;02. JABAR;DURABLE
119;51;P;WIRASWASTA NON FORMAL;5500000;06. SULAWESI;MOTOR BARU
120;39;L;WIRASWASTA NON FORMAL;7000000;01. JABOTABEK;MOTOR BARU
121;51;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
